Error rate,Insert speed 
0.0781,4.546791
0.0766,4.691791
0.0751,4.709709
0.0755,4.531417
0.0761,4.568084
0.0816,4.5643329999999995
0.0769,4.578792
0.0782,4.570209
0.0752,4.528417
0.0776,4.569707999999999
0.0786,4.574707999999999
0.0787,4.628125
0.0764,4.612457999999999
0.0763,4.518625
0.0809,4.606125
0.0744,4.5815
0.0806,4.52225
0.0765,4.552
0.0788,4.546792
0.0762,4.515333
0.0774,4.5309170000000005
0.0774,4.976917
0.076,4.526584
0.0757,4.530792
0.0759,4.506875
0.078,4.516834
0.078,4.497042
0.0747,4.5065
0.0765,4.588667
0.0787,4.495167
0.0726,4.531042
0.0757,4.500459
0.0732,4.495917
0.0791,4.507417
0.0744,4.523959
0.0782,4.5155829999999995
0.0744,4.519167
0.0773,4.529166
0.0783,4.512375
0.0778,4.523833
0.0753,4.493584
0.0769,4.492083
0.0704,4.526667000000001
0.0761,4.586375
0.0762,4.554125
0.0755,4.649875
0.0726,4.509417
0.0775,4.579791
0.0814,4.526458
0.0806,4.546

