Error rate,Insert speed 
0.1349,13.406165999999999
0.1292,13.497
0.138,13.810875
0.1288,13.409542
0.1369,13.441833
0.1234,13.426
0.1315,13.621291
0.1295,13.453583
0.1379,13.655833000000001
0.1309,13.408625
0.1345,13.406333
0.1308,13.408209000000001
0.1328,13.430208
0.1284,13.448083
0.1263,13.412959
0.1354,13.394834000000001
0.1309,13.401167
0.1347,13.448915999999999
0.1261,13.404375
0.1307,13.409
0.132,13.407125
0.1398,13.384
0.1284,13.494083
0.1245,13.780459
0.1282,13.381666
0.1321,13.476125
0.1337,13.399583
0.1374,13.755334000000001
0.1315,13.441
0.1273,13.853375
0.1413,13.625125
0.1432,13.563083
0.1254,13.412458
0.1297,13.497459000000001
0.1341,13.449458
0.1414,13.505167
0.1395,14.312125
0.1311,14.565083000000001
0.1354,14.490083
0.1295,13.379792
0.1365,13.397833
0.1321,13.401584000000001
0.1245,14.315709
0.1367,13.38875
0.1442,13.425040999999998
0.1379,13.389208
0.1283,13.449292
0.1357,13.4375
0.1307,13.3945
0.1326,13.38675

