Error rate,Insert speed 
0.043,2.165584
0.0449,2.06775
0.0406,2.0145
0.0423,2.022832
0.0433,2.3684160000000003
0.0425,2.0450820000000003
0.0448,2.033416
0.0418,2.019082
0.0456,2.067334
0.042,2.0165
0.0424,2.1096660000000003
0.04,2.020916
0.0453,2.037166
0.0427,2.027916
0.0438,2.1085
0.0424,2.022084
0.0413,2.1415
0.0415,2.145166
0.0428,2.202832
0.0418,2.061
0.0425,2.023084
0.0404,2.06125
0.0408,2.093584
0.0434,2.039584
0.0435,2.01175
0.0434,2.0486660000000003
0.046,2.007666
0.0427,2.003166
0.0433,2.049166
0.0419,2.030916
0.0441,2.07
0.043,2.0655
0.0434,2.052416
0.0425,2.056
0.0423,2.028
0.0424,2.178666
0.0425,2.02225
0.0449,2.117168
0.0431,2.115334
0.0444,2.0065
0.041,2.017916
0.0431,2.037168
0.0415,2.046
0.0418,2.02325
0.0433,2.0785
0.0424,2.03525
0.0409,2.03525
0.041,2.018332
0.0409,2.047
0.0421,2.0248340000000002

