Error rate,Insert speed 
0.0629,5.8695
0.066,5.901916
0.0594,5.89925
0.0645,5.891832
0.0655,5.898916
0.0606,6.16875
0.0604,5.87425
0.0561,5.9235
0.0587,5.947666
0.0592,5.912
0.0615,5.863916000000001
0.0603,6.009834
0.0624,5.96675
0.0611,6.185084
0.0569,5.944084
0.0616,5.896668
0.0639,5.93675
0.0609,5.925917999999999
0.0632,5.9725
0.0634,5.89
0.0585,5.93675
0.0595,6.694916
0.062,6.3921660000000005
0.0647,5.851166
0.0647,6.020416
0.0597,5.916832
0.0612,5.9071679999999995
0.0608,5.8551660000000005
0.0613,5.881666
0.0602,5.90675
0.067,5.899832
0.0614,5.93525
0.06,5.8883339999999995
0.0636,5.943916
0.0567,5.94375
0.0553,5.941834
0.0594,5.882416
0.0656,5.88925
0.0605,5.862
0.0559,5.862666
0.0601,5.946832000000001
0.0568,5.883916
0.0612,5.8595820000000005
0.054,6.473416
0.0586,6.278084
0.0559,5.9074160000000004
0.0596,5.883
0.065,5.99125
0.0641,5.907916
0.06,5.854582000000001

