Error rate,Insert speed 
0.0163,14.14334
0.0086,14.245
0.0135,14.24375
0.0133,14.09542
0.0099,14.47583
0.0125,14.1
0.0117,14.6625
0.0109,14.05
0.0108,14.20708
0.0111,14.79917
0.0122,14.05584
0.0096,14.2075
0.0127,14.22833
0.0138,14.49916
0.0125,14.21208
0.0122,14.17125
0.0117,16.27458
0.01,14.06208
0.0123,14.52959
0.0103,14.22959
0.0127,14.39625
0.0115,14.08541
0.0098,14.04125
0.0119,14.16875
0.0129,14.09208
0.015,14.01792
0.0125,14.045
0.0091,14.15333
0.0117,14.01459
0.0115,14.15083
0.0127,14.6325
0.0114,14.22625
0.0123,14.66791
0.0113,14.19917
0.0089,14.08625
0.0127,14.13584
0.0101,14.02166
0.0089,14.05208
0.0132,14.06458
0.0105,14.12625
0.0152,14.0225
0.0108,14.13166
0.0113,14.56875
0.0133,14.805
0.0113,15.14417
0.0111,15.10042
0.0122,14.9175
0.0107,14.07417
0.0117,14.07916
0.0143,14.07125

