Error rate,Insert speed 
0.0088,16.00875
0.0088,0.26208
0.0084,0.06458
0.009,1.02292
0.009,0.30957999999999997
0.0081,0.05917
0.0087,4.08458
0.0102,0.42542
0.0071,0.060840000000000005
0.0084,0.3925
0.009,0.08667
0.0101,0.05834
0.0087,0.05584
0.0089,0.06166
0.0077,0.05
0.0098,0.05708
0.0093,0.05125
0.009,0.06125
0.0102,0.06791
0.0089,0.05417
0.0092,0.08875
0.0085,0.05125
0.0072,0.05917
0.0099,0.049159999999999995
0.0089,0.05625
0.0093,0.05
0.0082,0.059590000000000004
0.0082,0.13625
0.0093,0.05917
0.0087,0.04875
0.01,0.1475
0.0085,0.060829999999999995
0.0086,0.05291
0.0088,0.055
0.0078,0.04875
0.0079,0.08542
0.0091,0.49208999999999997
0.0085,0.04625
0.0091,0.045
0.0089,0.045829999999999996
0.0094,0.07083
0.0098,0.0525
0.0076,0.04833
0.0083,0.044590000000000005
0.0095,0.04875
0.0091,0.04542
0.0101,0.05625
0.0086,0.04458
0.0098,0.04416
0.009,0.04333

