Error rate,Insert speed 
0.039,0.50725
0.0415,0.062834
0.0394,0.020834
0.0406,0.0195
0.0435,0.019
0.0402,0.020416
0.0405,0.02425
0.046,0.019084
0.041,0.468416
0.0417,0.024332
0.041,0.03825
0.0425,0.019084
0.0428,0.01975
0.0433,0.0195
0.0414,0.018416000000000002
0.0433,0.019082000000000002
0.041,0.018584
0.041,0.019666
0.0388,0.019084
0.041,0.019332000000000002
0.0417,0.018668
0.0402,0.019584
0.0422,0.06625
0.0415,0.029832
0.0431,0.020166
0.0447,0.0205
0.0412,0.019917999999999998
0.0405,0.018584
0.0437,0.018584
0.0418,0.01925
0.0462,0.018916
0.0415,0.019334
0.0445,0.021
0.0426,0.018832
0.0409,0.019584
0.0425,0.019417999999999998
0.0434,0.0185
0.0438,0.019417999999999998
0.0429,0.0185
0.0415,0.083668
0.0435,0.018668
0.0431,0.01925
0.0406,0.019167999999999998
0.0396,0.019
0.0423,0.020666
0.0413,0.018584
0.0448,0.019082000000000002
0.0405,0.01875
0.0422,0.019084
0.0428,0.018582

