Error rate,Insert speed 
0.0629,0.024668
0.0628,0.020918
0.064,0.022334
0.0573,0.024416
0.0594,0.022166
0.0552,0.021918
0.0576,0.033915999999999995
0.063,0.02125
0.0617,0.021916
0.0639,0.156916
0.0628,0.02375
0.0616,0.023834
0.0693,0.02275
0.0605,0.021666
0.0617,0.021084
0.0602,0.021166
0.0651,0.02075
0.062,0.021
0.0673,0.020834
0.0662,0.021084
0.0597,0.0215
0.0632,0.021416
0.0662,0.177334
0.0615,0.021584
0.06,0.020666
0.0645,0.021416
0.0675,0.021166
0.059,0.023832
0.0593,0.02075
0.0645,0.02125
0.0572,0.023666
0.0614,0.0215
0.0602,0.020666
0.063,0.022
0.0575,0.020834
0.065,0.021166
0.0538,0.021334
0.0626,0.02175
0.0612,0.049332
0.0569,0.031916
0.0665,0.031834
0.0552,0.03225
0.0624,0.032166
0.0639,0.032168
0.061,0.031584
0.0617,0.030416000000000002
0.0571,0.0305
0.057,0.02975
0.0654,0.030834
0.0596,0.03125

