Error rate,Insert speed 
0.2142,0.017667000000000002
0.2162,0.016707999999999997
0.2098,0.017416
0.2106,0.016875
0.2061,0.016792
0.2011,0.016708999999999998
0.2057,0.016707999999999997
0.2116,0.016916
0.2148,0.016916
0.2277,0.016875
0.2013,0.017082999999999997
0.2159,0.016791
0.2029,0.01675
0.2013,0.016791
0.2072,0.017167
0.2085,0.017
0.2048,0.01675
0.2217,0.016917
0.2155,0.01675
0.2064,0.016792
0.2194,0.016792
0.203,0.016792
0.2042,0.01675
0.205,0.016832999999999997
0.2084,0.0165
0.2132,0.016875
0.2033,0.01675
0.2163,0.016792
0.2023,0.016875
0.2021,0.016707999999999997
0.2246,0.01675
0.1976,0.021292000000000002
0.198,0.020875
0.1992,0.01675
0.2046,0.016917
0.1917,0.021792000000000002
0.2137,0.021709
0.2125,0.016875
0.2109,0.01675
0.2101,0.02075
0.2022,0.0185
0.1991,0.020625
0.2202,0.016125
0.2037,0.016667
0.2305,0.016207999999999997
0.2137,0.016167
0.2097,0.016291
0.2146,0.016292
0.2012,0.016209
0.2054,0.01675

