Error rate,Insert speed 
0.0405,0.02875
0.0431,0.013833999999999999
0.0416,0.047916
0.0437,0.04575
0.0416,0.0145
0.0381,0.0155
0.0424,0.013666000000000001
0.0419,0.01375
0.04,0.01375
0.0421,0.0135
0.0414,0.013416
0.0415,0.01375
0.0402,0.013416
0.0429,0.013416
0.0428,0.013418
0.0428,0.013668
0.0421,0.013666000000000001
0.0385,0.01375
0.0434,0.013416
0.0427,0.013583999999999999
0.0404,0.014
0.0411,0.018416000000000002
0.041,0.013416
0.0438,0.0135
0.0427,0.0135
0.0463,0.013416
0.0437,0.047416
0.0428,0.044834000000000006
0.0393,0.01475
0.0393,0.044166
0.0433,0.044
0.0429,0.014084
0.0418,0.0135
0.0441,0.016166
0.0396,0.144334
0.0402,0.0145
0.0421,0.013916
0.0423,0.013583999999999999
0.0436,0.013418
0.0441,0.013583999999999999
0.0403,0.013416
0.0412,0.0135
0.0432,0.013418
0.0399,0.224166
0.0409,0.013418
0.0422,0.01375
0.0463,0.013416
0.0411,0.015583999999999999
0.0389,0.01775
0.0445,0.01375

