Error rate,Insert speed 
0.01,2.11292
0.0088,6.46375
0.008,0.07166
0.0095,1.27625
0.0081,0.08125
0.0079,0.86
0.0097,0.135
0.01,0.05125
0.0083,0.67416
0.0083,0.70125
0.0085,2.23667
0.0098,0.24583000000000002
0.0089,0.05375
0.0086,0.05083
0.0092,0.05125
0.0093,0.06583
0.009,0.0625
0.0085,0.31917
0.0095,0.05
0.0105,0.05
0.0086,0.055420000000000004
0.0104,0.17667
0.0081,0.06792000000000001
0.0094,0.05
0.0088,0.05083
0.0097,0.049159999999999995
0.0099,0.04959
0.0089,0.05167
0.0105,0.05167
0.0096,0.05042
0.0083,0.0575
0.0086,0.05
0.0077,0.04917
0.0087,0.04958
0.0082,0.05
0.0094,0.05042
0.009,0.05042
0.0088,0.05042
0.0106,0.06375
0.0084,0.28375
0.0084,0.59292
0.0095,0.05458
0.0082,0.56167
0.0083,0.03917
0.0091,0.15875
0.0087,0.05083
0.0082,0.04709000000000001
0.009,0.040420000000000005
0.0089,0.04542
0.0097,0.040420000000000005

