Error rate,Insert speed 
0.0552,0.145334
0.0587,0.01925
0.066,0.01825
0.0618,0.01825
0.0609,0.018332
0.0619,0.018334
0.0634,0.018334
0.0594,0.01825
0.061,0.018
0.0601,0.018166
0.064,0.01975
0.0659,0.018082
0.0626,0.018834
0.067,0.01825
0.0598,0.01825
0.0507,0.018166
0.0683,0.018084
0.061,0.018334
0.0652,0.018916
0.0639,0.018082
0.0679,0.018084
0.0622,0.018168
0.0546,0.018334
0.0651,0.0175
0.0643,0.017416
0.0609,0.0175
0.066,0.018084
0.0612,0.018168
0.0659,0.017416
0.0637,0.018084
0.0559,0.02
0.0643,0.017666
0.0564,0.01775
0.058,0.0175
0.0672,0.0175
0.0619,0.017416
0.0605,0.0185
0.0682,0.018168
0.0579,0.017666
0.0689,0.017834
0.0624,0.017582
0.0577,0.0175
0.0606,0.017418
0.062,0.01775
0.0579,0.01775
0.061,0.0175
0.0618,0.018168
0.0678,0.022334
0.061,0.019
0.0629,0.017584

